Transaction_ID,Time_Seconds,Amount,V1,V2,V3,Class,Fraud_Probability,Predicted_Class,Status,Potential_Loss_Saved
TRX_000001,15795,35.46,-1.770679042680475,0.9676018084042547,-1.858179307009172,0,0.02,Legitimate,Approved,0.0
TRX_000002,860,63.19,0.7671295362427665,-0.39246571556316523,-0.21268019811851072,0,0.0,Legitimate,Approved,0.0
TRX_000003,76820,9.62,0.5389854018736263,1.2029323421334681,-1.4365980421265063,0,0.0,Legitimate,Approved,0.0
TRX_000004,54886,9.43,1.1332987512428532,0.6326353741603028,-0.08723268141329184,0,0.0,Legitimate,Approved,0.0
TRX_000005,6265,74.22,-1.2842911472294134,0.7912626827075011,-0.22282990440735767,0,0.0,Legitimate,Approved,0.0
TRX_000006,82386,102.91,1.3271012267945643,0.8852985561154889,0.08105129344006477,0,0.0,Legitimate,Approved,0.0
TRX_000007,37194,13.2,1.4956656702441604,1.1095369035558442,0.7056655531913082,0,0.0,Legitimate,Approved,0.0
TRX_000008,44131,77.83,0.6388368532734312,-0.07221031404465883,-0.1792454260418388,0,0.0,Legitimate,Approved,0.0
TRX_000009,60263,56.53,0.3586436750949317,0.7606016184670161,0.5789027504676981,0,0.0,Legitimate,Approved,0.0
TRX_000010,16023,14.96,0.03952730531627896,1.8838839759667738,-0.2981553916327933,0,0.0,Legitimate,Approved,0.0
TRX_000011,41090,12.26,-0.784712883082988,1.1763095166419852,-0.021894794712923875,0,0.0,Legitimate,Approved,0.0
TRX_000012,67221,16.1,0.16289710601561264,-0.8132675957204957,-0.13514513634075387,0,0.0,Legitimate,Approved,0.0
TRX_000013,64820,20.31,0.4012368002341303,-1.8688667051358538,-0.3257252992451736,0,0.0,Legitimate,Approved,0.0
TRX_000014,769,22.27,0.932226737892804,-0.9803528099581705,-1.6064430641476868,0,0.0,Legitimate,Approved,0.0
TRX_000015,59735,6.74,1.5217366459353159,-2.366029904499366,-0.21958839798595262,0,0.0,Legitimate,Approved,0.0
TRX_000016,62955,20.34,0.09319661678724936,-0.4919960505708912,-0.4022048218387558,0,0.0,Legitimate,Approved,0.0
TRX_000017,64925,45.51,0.29298693029683287,-0.4694566390020089,-0.573436430542085,0,0.0,Legitimate,Approved,0.0
TRX_000018,67969,64.2,0.12421676655467823,0.8459641997754683,-0.08246592598898242,0,0.0,Legitimate,Approved,0.0
TRX_000019,5311,18.35,1.8176007258277362,0.4752215586105886,-0.7881974977120779,0,0.02,Legitimate,Approved,0.0
TRX_000020,83104,147.57,-0.3089191374184959,-1.8395864059189282,1.2866383753524355,0,0.0,Legitimate,Approved,0.0
TRX_000021,53707,33.79,-1.7543288396060375,-0.4662020286716095,-1.2870331699288393,0,0.0,Legitimate,Approved,0.0
TRX_000022,85305,418.01,-0.32299208897429277,-0.07505949179093088,0.65752313584185,0,0.0,Legitimate,Approved,0.0
TRX_000023,28693,15.69,0.8633153368717561,-1.7174121399446487,-0.4366874577617893,0,0.0,Legitimate,Approved,0.0
TRX_000024,71932,47.55,-1.6935134948169215,-1.616449671543064,0.5881365172263957,0,0.0,Legitimate,Approved,0.0
TRX_000025,25658,30.34,0.022570451356662646,-0.20626780580516468,0.6928799262264521,0,0.0,Legitimate,Approved,0.0
TRX_000026,84478,16.99,-1.3378784614633372,0.08661058106285997,-0.5530510731147755,0,0.0,Legitimate,Approved,0.0
TRX_000027,18431,78.38,0.3576561619385767,-1.2455630781869285,-0.9213274149936208,0,0.0,Legitimate,Approved,0.0
